lineage,mean.diffs,clock.residual,num.cases,num.variants,min.coldate,max.coldate,mean.coldate
P.4,31.87,-2.13,239,131,2021-02-17,2021-09-09,2021-05-03
B.1.1.332,21.96,-4.03,28,24,2020-07-01,2021-03-16,2021-01-01
P.7,24.36,-1.76,222,200,2020-07-01,2021-05-30,2021-01-03
P.6,25.13,-3.99,77,65,2020-12-08,2021-04-19,2021-02-17
P.2,23.78,-4.21,4614,3599,2020-06-26,2021-10-06,2021-01-31
P.3,38.1,3.53,289,255,2021-01-17,2021-08-30,2021-05-11
D.3,12.16,-3.12,133,28,2020-06-14,2020-09-28,2020-07-21
D.2,15.05,-0.78,9300,2227,2020-03-19,2020-11-17,2020-07-29
D.5,19.5,-8.01,115,79,2020-10-12,2021-03-19,2021-01-23
D.4,17.55,0.29,11,3,2020-08-19,2020-08-21,2020-08-20
B.1.1.315,21.65,-1.2,88,70,2020-07-14,2021-04-30,2020-11-14
AD.1,23.77,-1.33,213,66,2020-11-02,2021-02-22,2020-12-18
AD.2,20.66,0.15,3337,1447,2020-07-21,2021-04-26,2020-10-09
AD.2.1,22.93,-5.71,15,10,2020-12-14,2021-02-27,2021-02-10
B.1.1.271,13.71,3.43,17,10,2020-03-11,2021-06-06,2020-05-06
B.1.1.467,19.03,-5.63,33,24,2020-10-15,2021-02-03,2020-12-11
B.1.1.366,13.17,1.85,58,46,2020-03-28,2020-07-19,2020-05-22
B.1.1.465,12.45,3.01,64,47,2020-04-21,2020-04-24,2020-04-23
B.1.1.294,19.8,-2.96,542,353,2020-03-31,2021-05-07,2020-11-12
M.1,23.69,-2.7,32,26,2020-12-07,2021-02-17,2021-01-06
M.2,17.5,-6.96,2,2,2020-10-26,2021-01-20,2020-12-08
M.3,16,-6,2,2,2020-10-19,2020-11-13,2020-11-01
B.1.1.378,12.73,-4.31,56,40,2020-03-16,2021-02-17,2020-08-17
B.1.1.279,15.49,-2.42,607,219,2020-03-21,2020-12-18,2020-08-30
B.1.1.360,10.17,1.1,6,5,2020-04-07,2020-04-29,2020-04-17
B.1.1.30,11.42,0.12,12,8,2020-05-18,2020-06-03,2020-05-21
B.1.1.363,13.91,2.12,70,32,2020-03-30,2021-01-04,2020-05-29
B.1.1.365,12.02,-1.86,132,40,2020-06-01,2021-03-29,2020-06-29
B.1.1.237,12.12,-3.25,140,42,2020-05-22,2021-02-26,2020-07-22
B.1.1.379,9.5,-1.53,6,3,2020-05-01,2020-06-04,2020-05-17
B.1.1.149,12.44,-0.1,55,13,2020-05-02,2020-11-25,2020-06-09
B.1.1.27,13.01,0.48,165,127,2020-03-21,2021-02-19,2020-06-09
B.1.1.512,18.93,-3.99,28,28,2020-07-21,2021-01-31,2020-11-15
B.1.1.513,11.51,2.08,76,48,2020-03-16,2020-05-15,2020-04-23
B.1.1.514,14,-0.27,11,10,2020-05-02,2020-09-30,2020-07-06
B.1.1.300,10.18,-3.18,67,24,2020-06-11,2020-07-21,2020-06-22
B.1.1.301,14.81,-1.42,625,294,2020-05-23,2021-02-14,2020-08-04
B.1.1.299,11.14,-2.52,57,21,2020-05-22,2021-03-13,2020-06-26
